Sistem,Titik Gangguan (%),ZL1,L1,L2,CT,PT,Zone 1,Zone2,Zone 3,Zone 4
JKT,30,6.81,31.62,33.19,400,1363.63,15.159,28.894,46.607,0.204
JKT,35,6.81,31.62,33.19,400,1363.63,17.686,33.71,54.375,0.238
JKT,40,6.81,31.62,33.19,400,1363.63,20.213,38.526,62.143,0.272
JKT,45,6.81,31.62,33.19,400,1363.63,22.739,43.342,69.911,0.306
JKT,50,6.81,31.62,33.19,400,1363.63,25.266,48.157,77.679,0.341
JKT,55,6.81,31.62,33.19,400,1363.63,27.792,52.973,85.447,0.375
JKT,60,6.81,31.62,33.19,400,1363.63,30.319,57.789,93.215,0.409
JKT,65,6.81,31.62,33.19,400,1363.63,32.845,62.605,100.983,0.443
JKT,70,6.81,31.62,33.19,400,1363.63,35.372,67.42,108.751,0.477
JKT,75,6.81,31.62,33.19,400,1363.63,37.899,72.236,116.519,0.511
JKT,80,6.81,31.62,33.19,400,1363.63,40.425,77.052,124.286,0.545
JKT,85,6.81,31.62,33.19,400,1363.63,42.952,81.868,132.054,0.579
JKT,90,6.81,31.62,33.19,400,1363.63,45.478,86.683,139.822,0.613
JKT,95,6.81,31.62,33.19,400,1363.63,48.005,91.499,147.59,0.647
JKT,100,6.81,31.62,33.19,400,1363.63,50.532,96.315,155.358,0.681
SBBD,5,5.66,13.01,14.07,400,1400,0.842,1.621,2.628,0.028
SBBD,10,5.66,13.01,14.07,400,1400,1.683,3.242,5.255,0.057
SBBD,15,5.66,13.01,14.07,400,1400,2.525,4.862,7.883,0.085
SBBD,20,5.66,13.01,14.07,400,1400,3.366,6.483,10.51,0.113
SBBD,25,5.66,13.01,14.07,400,1400,4.208,8.104,13.138,0.142
SBBD,30,5.66,13.01,14.07,400,1400,5.049,9.725,15.765,0.17
SBBD,35,5.66,13.01,14.07,400,1400,5.891,11.345,18.393,0.198
SBBD,40,5.66,13.01,14.07,400,1400,6.732,12.966,21.02,0.226
SBBD,45,5.66,13.01,14.07,400,1400,7.574,14.587,23.648,0.255
SBBD,50,5.66,13.01,14.07,400,1400,8.416,16.208,26.275,0.283
SBBD,55,5.66,13.01,14.07,400,1400,9.257,17.829,28.903,0.311
SBBD,60,5.66,13.01,14.07,400,1400,10.099,19.449,31.53,0.34
SBBD,65,5.66,13.01,14.07,400,1400,10.94,21.07,34.158,0.368
SBBD,70,5.66,13.01,14.07,400,1400,11.782,22.691,36.785,0.396
SBBD,75,5.66,13.01,14.07,400,1400,12.623,24.312,39.413,0.425
SBBD,80,5.66,13.01,14.07,400,1400,13.465,25.933,42.041,0.453
SBBD,85,5.66,13.01,14.07,400,1400,14.307,27.553,44.668,0.481
SBBD,90,5.66,13.01,14.07,400,1400,15.148,29.174,47.296,0.509
SBBD,95,5.66,13.01,14.07,400,1400,15.99,30.795,49.923,0.538
SBBD,100,5.66,13.01,14.07,400,1400,16.831,32.416,52.551,0.566
GPL,5,14.109,33.83,47.4,2000,1400,27.275,57.978,98.235,0.071
GPL,10,14.109,33.83,47.4,2000,1400,54.549,115.956,196.47,0.141
GPL,15,14.109,33.83,47.4,2000,1400,81.824,173.934,294.705,0.212
GPL,20,14.109,33.83,47.4,2000,1400,109.099,231.912,392.94,0.282
GPL,25,14.109,33.83,47.4,2000,1400,136.374,289.89,491.175,0.353
GPL,30,14.109,33.83,47.4,2000,1400,163.648,347.867,589.41,0.423
GPL,35,14.109,33.83,47.4,2000,1400,190.923,405.845,687.644,0.494
GPL,40,14.109,33.83,47.4,2000,1400,218.198,463.823,785.879,0.564
GPL,45,14.109,33.83,47.4,2000,1400,245.472,521.801,884.114,0.635
GPL,50,14.109,33.83,47.4,2000,1400,272.747,579.779,982.349,0.705
GPL,55,14.109,33.83,47.4,2000,1400,300.022,637.757,1080.584,0.776
GPL,60,14.109,33.83,47.4,2000,1400,327.297,695.735,1178.819,0.847
GPL,65,14.109,33.83,47.4,2000,1400,354.571,753.713,1277.054,0.917
GPL,70,14.109,33.83,47.4,2000,1400,381.846,811.691,1375.289,0.988
GPL,75,14.109,33.83,47.4,2000,1400,409.121,869.669,1473.524,1.058
GPL,80,14.109,33.83,47.4,2000,1400,436.395,927.647,1571.759,1.129
GPL,85,14.109,33.83,47.4,2000,1400,463.67,985.625,1669.994,1.199
GPL,90,14.109,33.83,47.4,2000,1400,490.945,1043.602,1768.229,1.27
GPL,95,14.109,33.83,47.4,2000,1400,518.22,1101.58,1866.463,1.34
GPL,100,14.109,33.83,47.4,2000,1400,545.494,1159.558,1964.698,1.411
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
